epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,157.329,0.303,0.13674,0.79063,0.97692,0,0.97082,1,0.995,0.995,0.97082,1,0.995,0.995,0.1775,0.08006,0.37249,0.88651,0,0.000841835,0.000841835,0.000841835
32,161.617,0.29791,0.14003,0.75543,0.97013,0,0.96801,1,0.995,0.995,0.96801,1,0.995,0.995,0.22159,0.08013,0.45573,0.92496,0,0.000814329,0.000814329,0.000814329
33,165.987,0.28482,0.13142,0.72065,0.98196,0,0.9661,1,0.995,0.995,0.9661,1,0.995,0.995,0.21395,0.07668,0.36109,0.91818,0,0.000786824,0.000786824,0.000786824
34,170.444,0.26485,0.13093,0.70784,0.94677,0,0.972,1,0.995,0.995,0.972,1,0.995,0.995,0.25797,0.06887,0.34245,0.93909,0,0.000759318,0.000759318,0.000759318
35,174.732,0.26011,0.13788,0.68866,0.93633,0,0.97263,1,0.995,0.995,0.97263,1,0.995,0.995,0.18628,0.07305,0.31377,0.90364,0,0.000731813,0.000731813,0.000731813
36,179.396,0.26198,0.12366,0.65921,0.93104,0,0.97226,1,0.995,0.995,0.97226,1,0.995,0.995,0.18667,0.07033,0.2549,0.90515,0,0.000704307,0.000704307,0.000704307
37,183.759,0.24496,0.12454,0.63576,0.91991,0,0.97277,1,0.995,0.94525,0.97277,1,0.995,0.995,0.17982,0.07552,0.2282,0.9095,0,0.000676802,0.000676802,0.000676802
38,188.107,0.23876,0.12531,0.60641,0.90775,0,0.96703,1,0.995,0.995,0.96703,1,0.995,0.995,0.22888,0.08741,0.23632,0.93384,0,0.000649297,0.000649297,0.000649297
39,192.548,0.23647,0.16318,0.60475,0.90571,0,0.97083,1,0.995,0.995,0.97083,1,0.995,0.995,0.19772,0.08928,0.20139,0.89125,0,0.000621791,0.000621791,0.000621791
40,197.072,0.23396,0.12419,0.59101,0.8994,0,0.96822,1,0.995,0.995,0.96822,1,0.995,0.995,0.16197,0.08073,0.21227,0.85971,0,0.000594286,0.000594286,0.000594286
41,201.569,0.24716,0.13296,0.57239,0.90603,0,0.96661,1,0.995,0.995,0.96661,1,0.995,0.995,0.17403,0.08064,0.21919,0.85842,0,0.00056678,0.00056678,0.00056678
42,206.127,0.22529,0.13126,0.55346,0.89515,0,0.97029,1,0.995,0.995,0.97029,1,0.995,0.995,0.17434,0.07344,0.20397,0.86349,0,0.000539275,0.000539275,0.000539275
43,210.414,0.22731,0.12251,0.54659,0.87178,0,0.97265,1,0.995,0.995,0.97265,1,0.995,0.995,0.18362,0.06802,0.23949,0.8754,0,0.000511769,0.000511769,0.000511769
44,214.745,0.2337,0.12136,0.54783,0.90104,0,0.96956,1,0.995,0.995,0.96956,1,0.995,0.995,0.12982,0.06956,0.20586,0.84729,0,0.000484263,0.000484263,0.000484263
45,219.013,0.21291,0.11688,0.52155,0.89403,0,0.97079,1,0.995,0.995,0.97079,1,0.995,0.995,0.16133,0.06888,0.19032,0.87544,0,0.000456758,0.000456758,0.000456758
46,223.932,0.21946,0.11685,0.51675,0.85929,0,0.97403,1,0.995,0.995,0.97403,1,0.995,0.995,0.13908,0.07207,0.2145,0.84877,0,0.000429253,0.000429253,0.000429253
47,228.837,0.20991,0.11992,0.51622,0.89291,0,0.97205,1,0.995,0.995,0.97205,1,0.995,0.995,0.14929,0.07129,0.20823,0.83822,0,0.000401747,0.000401747,0.000401747
48,233.878,0.21689,0.11781,0.4928,0.88355,0,0.96929,1,0.995,0.995,0.96929,1,0.995,0.995,0.15991,0.06697,0.19746,0.845,0,0.000374242,0.000374242,0.000374242
49,238.635,0.19689,0.10976,0.48722,0.88303,0,0.97051,1,0.995,0.995,0.97051,1,0.995,0.995,0.1231,0.06537,0.1493,0.83407,0,0.000346736,0.000346736,0.000346736
50,243.244,0.2018,0.10828,0.48757,0.88494,0,0.97236,1,0.995,0.995,0.97236,1,0.995,0.995,0.14519,0.0671,0.18796,0.84889,0,0.000319231,0.000319231,0.000319231
51,310.436,0.19818,0.11512,0.46816,0.86238,0,0.97073,1,0.995,0.995,0.97073,1,0.995,0.995,0.16962,0.06515,0.18669,0.88724,0,0.000291725,0.000291725,0.000291725
52,314.986,0.18907,0.11162,0.4627,0.87529,0,0.97344,1,0.995,0.995,0.97344,1,0.995,0.995,0.13443,0.06341,0.18641,0.86341,0,0.00026422,0.00026422,0.00026422
53,319.389,0.18545,0.11313,0.46088,0.86076,0,0.97337,1,0.995,0.995,0.97337,1,0.995,0.995,0.12226,0.0667,0.15651,0.82941,0,0.000236714,0.000236714,0.000236714
54,324.233,0.18548,0.11375,0.45728,0.8486,0,0.974,1,0.995,0.995,0.974,1,0.995,0.995,0.14508,0.06954,0.1636,0.83993,0,0.000209209,0.000209209,0.000209209
55,328.645,0.18248,0.10977,0.44556,0.85213,0,0.97215,1,0.995,0.995,0.97215,1,0.995,0.995,0.11815,0.07235,0.15959,0.8413,0,0.000181703,0.000181703,0.000181703
56,333.057,0.17532,0.10832,0.44265,0.85607,0,0.97153,1,0.995,0.995,0.97153,1,0.995,0.995,0.09293,0.07259,0.15321,0.82206,0,0.000154198,0.000154198,0.000154198
57,337.541,0.16215,0.10977,0.43578,0.83507,0,0.97145,1,0.995,0.995,0.97145,1,0.995,0.995,0.09616,0.07072,0.14124,0.82222,0,0.000126692,0.000126692,0.000126692
58,341.901,0.16357,0.10198,0.41934,0.88359,0,0.97189,1,0.995,0.995,0.97189,1,0.995,0.995,0.07908,0.0699,0.11595,0.81741,0,9.91865e-05,9.91865e-05,9.91865e-05
59,346.791,0.16076,0.10867,0.41474,0.86116,0,0.9719,1,0.995,0.995,0.9719,1,0.995,0.995,0.06473,0.07017,0.10028,0.81555,0,7.1681e-05,7.1681e-05,7.1681e-05
60,351.038,0.15479,0.12313,0.42487,0.83649,0,0.97258,1,0.995,0.995,0.97258,1,0.995,0.995,0.06763,0.07033,0.09771,0.81631,0,4.41755e-05,4.41755e-05,4.41755e-05
